feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
HILp_QI22784	diagnosis	UC	-8.03065055176755	2.02844462298862	388	179	0.000139680566060307	0.00108279508573881
HILp_QI22835	diagnosis	CD	-7.11568745884955	1.79608260233735	388	183	0.000139283357443181	0.00108279508573881
C8p_QI28764	diagnosis	CD	6.07110998881464	1.54175501525754	388	192	0.000155293205350561	0.00119456311808124
HILp_QI21407	diagnosis	UC	-6.96722407749788	1.77401611944556	388	238	0.000157979744291977	0.00120595224650364
HILp_QI25157	diagnosis	CD	5.62461355712557	1.45258630281056	388	227	0.000195888427557613	0.00148400323907283
HILp_QI22152	diagnosis	UC	-7.38408357047864	1.917883785858	388	177	0.000208308871269247	0.00156623211480637
C8p_QI22888	diagnosis	UC	-7.27177516212674	1.89679710146542	388	202	0.000219014962113693	0.00163444001577383
HILp_QI22784	diagnosis	CD	-6.95097249626158	1.82803873035692	388	179	0.000246681722730284	0.00182413578373434
C18n_QI4015	diagnosis	CD	-6.65103127717376	1.75133135649714	388	236	0.000249906602371604	0.00182413578373434
HILp_QI25167	diagnosis	UC	6.2388414028264	1.6454433242575	388	284	0.000249602687547586	0.00182413578373434
C8p_QI20218	diagnosis	UC	-6.75714255995902	1.79323219050011	388	244	0.000275485493998855	0.00198715604827813
HILp_QI22151	diagnosis	UC	-6.58970858500243	1.74875474515542	388	325	0.00027621469071066	0.00198715604827813
C18n_QI4015	diagnosis	UC	-7.31225662100661	1.9443696825328	388	236	0.000282081484059301	0.00201486774328072
HILp_QI24957	diagnosis	CD	5.82409434883906	1.55113029927537	388	246	0.000289326710340921	0.00205196248468738
HILp_QI13194	diagnosis	CD	5.36963037573179	1.42935167570271	388	164	0.000294181767473593	0.0020717025878422
HILp_QI25157	diagnosis	UC	6.07662428395285	1.62655154766242	388	227	0.000310001704579402	0.00215608567607583
HILp_QI22151	diagnosis	CD	-5.8760192975991	1.5719124459016	388	325	0.000310476337354919	0.00215608567607583
HILp_QI22783	diagnosis	CD	-6.04798046813914	1.63309070532192	388	272	0.000349529867287279	0.00241055080887779
HILn_QI1107	diagnosis	CD	-6.15104776360229	1.66592914133125	388	168	0.000360858273549427	0.00247163201061251
C8p_QI27013	diagnosis	CD	-5.93877950406981	1.60890922768134	388	167	0.000365354909234426	0.00248540754581242
HILn_QI1220	diagnosis	UC	-7.19905643801038	1.96271960775343	388	195	0.000395721279669055	0.00267379243019632
HILn_QI2809	diagnosis	UC	7.71834975617826	2.10864556687258	388	154	0.000406892242948532	0.00273082042247337
C8p_QI18724	diagnosis	UC	-6.18090174836717	1.71032322165481	388	220	0.00046911715758776	0.00312744771725173
C18n_QI12808	diagnosis	CD	5.45641315081498	1.51056894278918	388	158	0.000485620374697303	0.00321602897150532
HILp_QI21468	diagnosis	CD	-6.13566170912171	1.71164282260046	388	205	0.00052598923937847	0.00346045552222678
C8p_QI27013	diagnosis	UC	-6.39611186163291	1.78822449984456	388	167	0.000535392177193838	0.00349929527577672
HILp_QI25304	diagnosis	CD	5.49658462554422	1.53676048850024	388	193	0.000544144508565479	0.00353340589977583
HILp_QI22179	diagnosis	UC	7.13196533464185	1.9986273926761	388	192	0.000550917463527055	0.00355430621630358
HILp_QI20437	diagnosis	UC	-7.04509722872556	1.98593081016496	388	186	0.000591461241017179	0.00379141821164858
HILp_QI15013	diagnosis	UC	5.94942971815358	1.68134904605788	388	184	0.000611857405257755	0.00389718092520863
HILp_QI22738	diagnosis	CD	-6.71046858836093	1.9028840000327	388	206	0.000636222975120737	0.00402672769063758
HILp_QI21480	diagnosis	UC	-5.988822225579	1.70069074759356	388	236	0.000643794044910353	0.00404901915037958
HILn_QI2121	diagnosis	UC	6.46966046731478	1.83944575930799	388	197	0.000655496592732811	0.00407140740827833
C18n_QI13593	diagnosis	CD	-5.84857246132883	1.66149261160446	388	203	0.000652837268058843	0.00407140740827833
HILp_QI8769	diagnosis	CD	5.15984893162328	1.46575532047209	388	185	0.000665684829393326	0.00410916561353905
C18n_QI728	diagnosis	CD	5.92534637221037	1.68751161607205	388	209	0.000675541621244226	0.0041444271241977
HILp_QI21470	diagnosis	CD	-6.0617426885325	1.74104852501544	388	320	0.000740229008481738	0.00451359151513255
HILp_QI24513	diagnosis	CD	-5.50530983489975	1.58431380360331	388	249	0.000757306924162925	0.00458737570323115
HILp_QI21468	diagnosis	UC	-6.59718645060144	1.89993048050572	388	205	0.00076150436673637	0.00458737570323115
HILp_QI20455	diagnosis	CD	-5.63597051269932	1.62574922800811	388	184	0.000780869617062965	0.00464811243164051
HILp_QI4857	diagnosis	CD	5.15447751682992	1.4865349258332	388	147	0.000780882888515606	0.00464811243164051
HILp_QI21620	diagnosis	UC	-6.70706072423877	1.93814381451379	388	305	0.00078758710411069	0.00465806257726536
C18n_QI8539	diagnosis	CD	-6.43770277509041	1.86046782261257	388	234	0.000791870638135111	0.00465806257726536
HILp_QI20437	diagnosis	CD	-6.17648153828286	1.78897661846984	388	186	0.000817781966267628	0.00478235067992765
C18n_QI9051	diagnosis	CD	-6.43501471015932	1.86767285582517	388	257	0.000831100212384931	0.00483197797898216
HILn_QI999	diagnosis	CD	5.91038369586804	1.72419964784796	388	155	0.00088711977650391	0.00512785997979139
HILn_QI1296	diagnosis	CD	6.24751245674781	1.83096104156098	388	163	0.000934699547314863	0.00537183647882105
HILp_QI10676	diagnosis	CD	5.49782030977487	1.61182402355638	388	146	0.000940992926260966	0.00537710243577695
HILp_QI22740	diagnosis	CD	-5.90624439432361	1.73396329682198	388	208	0.000949525893006084	0.00539503348298911
C18n_QI6117	diagnosis	CD	5.24960588284417	1.54340932581755	388	155	0.000967621357481117	0.00546678733040179
HILn_QI740	diagnosis	CD	-5.78181149879801	1.70223017223296	388	151	0.000981837017521496	0.00551593830068256
C8p_QI22888	diagnosis	CD	-5.78607683816134	1.70719728233851	388	202	0.00100575029323366	0.00561871672197576
HILp_QI22152	diagnosis	CD	-5.84581717542482	1.72580188611063	388	177	0.00101781038022241	0.0056232617691846
HILp_QI23754	diagnosis	CD	-5.20508840535735	1.53611231250923	388	255	0.00101422842453843	0.0056232617691846
HILp_QI25076	diagnosis	UC	-5.991854167749	1.77317301178424	388	195	0.00103501600509981	0.00568690112692206
HILp_QI20455	diagnosis	UC	-6.09100965921797	1.80604345991335	388	184	0.001056517842004	0.00577332154100546
HILp_QI22553	diagnosis	UC	-5.90581430127957	1.75410860178802	388	230	0.00108387514122614	0.00589062576753335
HILp_QI8713	diagnosis	CD	6.0212192847409	1.79459495233001	388	177	0.00113429011118275	0.00609833393109006
HILp_QI7610	diagnosis	CD	-5.7818788193264	1.72371813333437	388	222	0.00113365833228232	0.00609833393109006
HILp_QI22689	diagnosis	UC	-6.80845838833776	2.03516869582281	388	303	0.00114972491218377	0.00614826156248008
HILp_QI21620	diagnosis	CD	-5.82550944220603	1.7460375729257	388	305	0.0011903576895203	0.00633168983787394
C18n_QI3676	diagnosis	CD	5.18706358254484	1.55716542641006	388	135	0.00121373972900249	0.0064219033280555
C8p_QI20628	diagnosis	UC	-5.64010656175447	1.7034762185218	388	214	0.00129467045836014	0.00681405504400074
C8p_QI26266	diagnosis	CD	-4.96347783288033	1.49807483813283	388	176	0.00130381233483343	0.00682624259075092
HILn_QI1847	diagnosis	CD	5.27020668831273	1.59247611154033	388	193	0.00131274615900137	0.00683721957813215
C8p_QI26870	diagnosis	CD	5.46281812246056	1.65422849490828	388	168	0.00133687901616719	0.00692217459042931
C18n_QI8349	diagnosis	CD	5.40690548278868	1.63771596915621	388	152	0.00134290187054329	0.00692217459042931
HILp_QI22833	diagnosis	CD	-5.46523831495714	1.66366891364525	388	271	0.00140551361961029	0.00720776215184766
C8p_QI28764	diagnosis	UC	5.63299045696159	1.71676672695981	388	192	0.00142725855004618	0.00728193137778661
HILp_QI9317	diagnosis	CD	5.25385538026602	1.60076569914241	388	273	0.00143573025920579	0.00728797085891262
HILp_QI7610	diagnosis	UC	-6.2489337915809	1.91541028060012	388	222	0.00151243989597193	0.00763858533319158
HILp_QI22235	diagnosis	CD	-5.09671092878033	1.5648116703493	388	311	0.00153466569604778	0.0077118879198381
HILp_QI22738	diagnosis	UC	-6.81558967745152	2.11132212075369	388	206	0.00167558408300614	0.0083779204150307
HILp_QI8849	diagnosis	CD	5.64995636340215	1.74956009133681	388	172	0.00169166934037753	0.00841626537501257
HILp_QI25298	diagnosis	CD	4.77054109004849	1.48001516834611	388	186	0.00172497618302334	0.00849741962080463
HILn_QI1737	diagnosis	CD	4.81839817560786	1.49508604887522	388	290	0.00171727991016814	0.00849741962080463
HILp_TF20	diagnosis	CD	-8.14593195874064	2.53694030537385	388	295	0.00176922661168142	0.00867267946902659
HILp_TF5	diagnosis	UC	-6.67848419501817	2.08015596386193	388	310	0.00178306680245088	0.0086978868412238
HILp_QI21861	diagnosis	CD	5.39710669382321	1.68612240259334	388	193	0.00185690297944896	0.00901409213324737
C18n_QI9442	diagnosis	CD	4.58026401753119	1.43233787613122	388	203	0.0018759582184169	0.00906260008897053
HILp_QI25201	diagnosis	UC	-5.8999295777845	1.85042529388172	388	257	0.00189657611655242	0.00907913742017954
HILp_QI13784	diagnosis	CD	4.67570182448693	1.46420116106857	388	204	0.00189753972081752	0.00907913742017954
HILp_QI1201	diagnosis	CD	5.79198131267889	1.81835760515006	388	137	0.00193015297203219	0.00919120462872471
HILn_QI4140	diagnosis	UC	6.46832227972789	2.03351388463371	388	224	0.00195254456869859	0.00925376572842932
